iter	RMSE
0	0.9652158027
1	0.9305325559
2	0.8956380307
3	0.8638735721
4	0.8334343321
5	0.8048507803
6	0.7787408659
7	0.753490331
8	0.7304292141
9	0.7080978542
10	0.6889669369
11	0.6699077273
12	0.6523870718
13	0.6360012817
14	0.6209886622
15	0.6071691674
16	0.5929924741
17	0.5809144144
18	0.5690930763
19	0.5579671123
20	0.5480542097
21	0.5385881814
22	0.5303207947
23	0.5226470631
24	0.5156433417
25	0.5085697517
26	0.5020773477
27	0.4951630577
28	0.4893206383
29	0.4836506759
30	0.4789763088
31	0.4739553889
32	0.4700375298
33	0.4659160771
34	0.4618235923
35	0.4579842902
36	0.4545589103
37	0.4515283393
38	0.4483812085
39	0.4451761588
40	0.4421182758
41	0.4394859819
42	0.4366831422
43	0.4337287286
44	0.4309908243
45	0.4287247525
46	0.4266008904
47	0.4243319759
48	0.4226154579
49	0.4205642298
50	0.4188403885
51	0.4170707598
52	0.4157352066
53	0.414046998
54	0.412787145
55	0.4117295384
56	0.4105807331
57	0.409206442
58	0.4078573561
59	0.4065142648
60	0.4050550015
61	0.4040057692
62	0.402900369
63	0.4018289836
64	0.4007388604
65	0.3993128184
66	0.3978597132
67	0.3972426781
68	0.3963284076
69	0.395264911
70	0.3942033498
71	0.3935744364
72	0.3929444606
73	0.3923461851
74	0.3913444817
75	0.3907290021
76	0.3899212584
77	0.3891827378
78	0.3886892351
79	0.388055733
80	0.3875392952
81	0.3869135895
82	0.3860617027
83	0.3854010148
84	0.3850712557
85	0.3844118795
86	0.3840035598
87	0.3834765959
88	0.3830974623
89	0.3826481634
90	0.3822782612
91	0.3817387421
92	0.3808538699
93	0.3801972148
94	0.3798683524
95	0.3793508108
96	0.3790199791
97	0.3783471888
98	0.3776316812
99	0.3769676462
100	0.3765242173
101	0.3762162109
102	0.3759070388
103	0.3755696072
104	0.3750995012
105	0.3747060445
106	0.3743581264
107	0.3740871187
108	0.3735600187
109	0.3732502186
110	0.3727994399
111	0.3726400102
112	0.3724248988
113	0.3718958403
114	0.3715864927
115	0.3712678903
116	0.3710724826
117	0.3708175235
118	0.3706140504
119	0.370395808
120	0.3699895801
121	0.3697129781
122	0.3692617472
123	0.3689784677
124	0.368704841
125	0.3684337342
126	0.3682462562
127	0.3678995351
128	0.3676693726
129	0.3673237497
130	0.3670137266
131	0.3666926388
132	0.3663297974
133	0.3660599346
134	0.3656106401
135	0.3653585182
136	0.3650683162
137	0.364800821
138	0.364641682
139	0.3644277022
140	0.3640620004
141	0.3639125423
142	0.3636240274
143	0.3632886207
144	0.3630355159
145	0.3627099437
146	0.3623080574
147	0.3619520033
148	0.361597684
149	0.361341295
150	0.3610235825
151	0.3607577584
152	0.3604072007
153	0.3602574659
154	0.3599583842
155	0.3597842316
156	0.3594998377
157	0.35931888
158	0.3590912267
159	0.358766132
160	0.3584461859
161	0.358301849
162	0.3580292361
163	0.3578074319
164	0.3576039873
165	0.357345201
166	0.3571755702
167	0.3568046873
168	0.3565697821
169	0.3563154041
170	0.355974249
171	0.3558220937
172	0.3554541035
173	0.3552189474
174	0.3550526692
175	0.3548431325
176	0.3548350281
177	0.3544575616
178	0.3542403295
179	0.3539036147
180	0.353684635
181	0.3534293817
182	0.3531678885
183	0.3530046028
184	0.3527111573
185	0.3523390583
186	0.3522204458
187	0.3517631566
188	0.3516462322
189	0.3513159091
190	0.3510553758
191	0.3509405292
192	0.3507827451
193	0.3506020191
194	0.3503327999
195	0.3501706126
196	0.3497952207
197	0.3495313242
198	0.3493208175
199	0.3492700388
200	0.3489912983
201	0.3488699954
202	0.3486843621
203	0.3485741925
204	0.3482712357
205	0.3481655238
206	0.3479385888
207	0.3477298101
208	0.3476611512
209	0.3474214346
210	0.3472855916
211	0.3471304116
212	0.346941654
213	0.3466565813
214	0.3465962345
215	0.346299646
216	0.3460757351
217	0.3457114904
218	0.3454696178
219	0.3451779713
220	0.3449748917
221	0.3447816809
222	0.3446679013
223	0.3444430719
224	0.3442009
225	0.3440492506
226	0.3439889781
227	0.3438402875
228	0.3437228413
229	0.3436154089
230	0.3435471248
231	0.3432417785
232	0.3430697048
233	0.3427628841
234	0.3425972099
235	0.3423885193
236	0.3421856364
237	0.3419946178
238	0.3417527019
239	0.341523867
240	0.3413940755
241	0.34117817
242	0.3410507402
243	0.3408512203
244	0.3405475141
245	0.34048172
246	0.3402080039
247	0.3400028346
248	0.33977124
249	0.3395812969
250	0.3394192025
251	0.33922884
252	0.3389995188
253	0.3389422133
254	0.3386883357
255	0.3384394677
256	0.3383717504
257	0.338258374
258	0.3381594006
259	0.3380102898
260	0.3378375871
261	0.3376742864
262	0.3374586475
263	0.3373437405
264	0.3373060519
265	0.3371701638
266	0.3370689454
267	0.3369211799
268	0.3366982228
269	0.3364539954
270	0.3363078534
271	0.3361602546
272	0.3359856192
273	0.3359027184
274	0.3356741753
275	0.3355499384
276	0.3355033473
277	0.335350282
278	0.3351987541
279	0.335167443
280	0.335049342
281	0.3348450757
